 x_i       xi_mi
  0.20000000000000001        0.0000000000000000     
  0.20000000000000001       0.16000000000000003     
  0.16000000000000003       0.16000000000000003     
  0.16000000000000003       0.13440000000000002     
  0.13440000000000002       0.13440000000000002     
  0.13440000000000002       0.11633664000000001     
  0.11633664000000001       0.11633664000000001     
  0.11633664000000001       0.10280242619351040     
  0.10280242619351040       0.10280242619351040     
  0.10280242619351040        9.2234087362238246E-002
   9.2234087362238246E-002   9.2234087362238246E-002
   9.2234087362238246E-002   8.3726960490693253E-002
   8.3726960490693253E-002   8.3726960490693253E-002
   8.3726960490693253E-002   7.6716756577683148E-002
   7.6716756577683148E-002   7.6716756577683148E-002
   7.6716756577683148E-002   7.0831295837883654E-002
   7.0831295837883654E-002   7.0831295837883654E-002
   7.0831295837883654E-002   6.5814223367809857E-002
   6.5814223367809857E-002   6.5814223367809857E-002
   6.5814223367809857E-002   6.1482711370301889E-002
   6.1482711370301889E-002   6.1482711370301889E-002
   6.1482711370301889E-002   5.7702587572858038E-002
   5.7702587572858038E-002   5.7702587572858038E-002
   5.7702587572858038E-002   5.4372998960254687E-002
   5.4372998960254687E-002   5.4372998960254687E-002
   5.4372998960254687E-002   5.1416575944322827E-002
   5.1416575944322827E-002   5.1416575944322827E-002
   5.1416575944322827E-002   4.8772911662484514E-002
   4.8772911662484514E-002   4.8772911662484514E-002
   4.8772911662484514E-002   4.6394114750447996E-002
   4.6394114750447996E-002   4.6394114750447996E-002
   4.6394114750447996E-002   4.4241700866970261E-002
   4.4241700866970261E-002   4.4241700866970261E-002
   4.4241700866970261E-002   4.2284372771367790E-002
   4.2284372771367790E-002   4.2284372771367790E-002
   4.2284372771367790E-002   4.0496404590699801E-002
   4.0496404590699801E-002   4.0496404590699801E-002
   4.0496404590699801E-002   3.8856445805926149E-002
   3.8856445805926149E-002   3.8856445805926149E-002
   3.8856445805926149E-002   3.7346622425257270E-002
   3.7346622425257270E-002   3.7346622425257270E-002
   3.7346622425257270E-002   3.5951852218682544E-002
   3.5951852218682544E-002   3.5951852218682544E-002
   3.5951852218682544E-002   3.4659316540728555E-002
   3.4659316540728555E-002   3.4659316540728555E-002
   3.4659316540728555E-002   3.3458048317658133E-002
   3.3458048317658133E-002   3.3458048317658133E-002
   3.3458048317658133E-002   3.2338607320431388E-002
   3.2338607320431388E-002   3.2338607320431388E-002
   3.2338607320431388E-002   3.1292821797006327E-002
   3.1292821797006327E-002   3.1292821797006327E-002
   3.1292821797006327E-002   3.0313581100987134E-002
   3.0313581100987134E-002   3.0313581100987134E-002
   3.0313581100987134E-002   2.9394667901821010E-002
   2.9394667901821010E-002   2.9394667901821010E-002
   2.9394667901821010E-002   2.8530621400762665E-002
   2.8530621400762665E-002   2.8530621400762665E-002
   2.8530621400762665E-002   2.7716625043249007E-002
   2.7716625043249007E-002   2.7716625043249007E-002
   2.7716625043249007E-002   2.6948413739460948E-002
   2.6948413739460948E-002   2.6948413739460948E-002
   2.6948413739460948E-002   2.6222196736387780E-002
   2.6222196736387780E-002   2.6222196736387780E-002
   2.6222196736387780E-002   2.5534593134705953E-002
   2.5534593134705953E-002   2.5534593134705953E-002
   2.5534593134705953E-002   2.4882577688150980E-002
   2.4882577688150980E-002   2.4882577688150980E-002
   2.4882577688150980E-002   2.4263435015744111E-002
   2.4263435015744111E-002   2.4263435015744111E-002
   2.4263435015744111E-002   2.3674720736980872E-002
   2.3674720736980872E-002   2.3674720736980872E-002
   2.3674720736980872E-002   2.3114228335006839E-002
   2.3114228335006839E-002   2.3114228335006839E-002
   2.3114228335006839E-002   2.2579960783484006E-002
   2.2579960783484006E-002   2.2579960783484006E-002
   2.2579960783484006E-002   2.2070106154500332E-002
   2.2070106154500332E-002   2.2070106154500332E-002
   2.2070106154500332E-002   2.1583016568829418E-002
   2.1583016568829418E-002   2.1583016568829418E-002
   2.1583016568829418E-002   2.1117189964619053E-002
   2.1117189964619053E-002   2.1117189964619053E-002
   2.1117189964619053E-002   2.0671254252617243E-002
   2.0671254252617243E-002   2.0671254252617243E-002
   2.0671254252617243E-002   2.0243953500240896E-002
   2.0243953500240896E-002   2.0243953500240896E-002
   2.0243953500240896E-002   1.9834135846920981E-002
   1.9834135846920981E-002   1.9834135846920981E-002
   1.9834135846920981E-002   1.9440742902126867E-002
   1.9440742902126867E-002   1.9440742902126867E-002
   1.9440742902126867E-002   1.9062800417540271E-002
   1.9062800417540271E-002   1.9062800417540271E-002
   1.9062800417540271E-002   1.8699410057781297E-002
   1.8699410057781297E-002   1.8699410057781297E-002
   1.8699410057781297E-002   1.8349742121272244E-002
   1.8349742121272244E-002   1.8349742121272244E-002
   1.8349742121272244E-002   1.8013029085355053E-002
   1.8013029085355053E-002   1.8013029085355053E-002
   1.8013029085355053E-002   1.7688559868525206E-002
   1.7688559868525206E-002   1.7688559868525206E-002
   1.7688559868525206E-002   1.7375674718302803E-002
   1.7375674718302803E-002   1.7375674718302803E-002
   1.7375674718302803E-002   1.7073760646386535E-002
   1.7073760646386535E-002   1.7073760646386535E-002
   1.7073760646386535E-002   1.6782247343776438E-002
   1.6782247343776438E-002   1.6782247343776438E-002
   1.6782247343776438E-002   1.6500603517868747E-002
   1.6500603517868747E-002   1.6500603517868747E-002
   1.6500603517868747E-002   1.6228333601414846E-002
   1.6228333601414846E-002   1.6228333601414846E-002
   1.6228333601414846E-002   1.5964974789936037E-002
   1.5964974789936037E-002   1.5964974789936037E-002
   1.5964974789936037E-002   1.5710094369892742E-002
   1.5710094369892742E-002   1.5710094369892742E-002
   1.5710094369892742E-002   1.5463287304781807E-002
   1.5463287304781807E-002   1.5463287304781807E-002
   1.5463287304781807E-002   1.5224174050511579E-002
   1.5224174050511579E-002   1.5224174050511579E-002
   1.5224174050511579E-002   1.4992398574991309E-002
   1.4992398574991309E-002   1.4992398574991309E-002
   1.4992398574991309E-002   1.4767626559959907E-002
   1.4767626559959907E-002   1.4767626559959907E-002
   1.4767626559959907E-002   1.4549543765745474E-002
   1.4549543765745474E-002   1.4549543765745474E-002
   1.4549543765745474E-002   1.4337854541954131E-002
   1.4337854541954131E-002   1.4337854541954131E-002
   1.4337854541954131E-002   1.4132280469087898E-002
   1.4132280469087898E-002   1.4132280469087898E-002
   1.4132280469087898E-002   1.3932559117830935E-002
   1.3932559117830935E-002   1.3932559117830935E-002
   1.3932559117830935E-002   1.3738442914259080E-002
   1.3738442914259080E-002   1.3738442914259080E-002
   1.3738442914259080E-002   1.3549698100550725E-002
   1.3549698100550725E-002   1.3549698100550725E-002
   1.3549698100550725E-002   1.3366103781934657E-002
   1.3366103781934657E-002   1.3366103781934657E-002
   1.3366103781934657E-002   1.3187451051625209E-002
   1.3187451051625209E-002   1.3187451051625209E-002
   1.3187451051625209E-002   1.3013542186386198E-002
   1.3013542186386198E-002   1.3013542186386198E-002
   1.3013542186386198E-002   1.2844189906149345E-002
   1.2844189906149345E-002   1.2844189906149345E-002
   1.2844189906149345E-002   1.2679216691804118E-002
   1.2679216691804118E-002   1.2679216691804118E-002
   1.2679216691804118E-002   1.2518454155886392E-002
   1.2518454155886392E-002   1.2518454155886392E-002
   1.2518454155886392E-002   1.2361742461433364E-002
   1.2361742461433364E-002   1.2361742461433364E-002
   1.2361742461433364E-002   1.2208929784750558E-002
   1.2208929784750558E-002   1.2208929784750558E-002
   1.2208929784750558E-002   1.2059871818261590E-002
   1.2059871818261590E-002   1.2059871818261590E-002
   1.2059871818261590E-002   1.1914431309988689E-002
   1.1914431309988689E-002   1.1914431309988689E-002
   1.1914431309988689E-002   1.1772477636548250E-002
   1.1772477636548250E-002   1.1772477636548250E-002
   1.1772477636548250E-002   1.1633886406845222E-002
   1.1633886406845222E-002   1.1633886406845222E-002
   1.1633886406845222E-002   1.1498539093917844E-002
   1.1498539093917844E-002   1.1498539093917844E-002
   1.1498539093917844E-002   1.1366322692623488E-002
   1.1366322692623488E-002   1.1366322692623488E-002
   1.1366322692623488E-002   1.1237129401070640E-002
   1.1237129401070640E-002   1.1237129401070640E-002
   1.1237129401070640E-002   1.1110856323894233E-002
   1.1110856323894233E-002   1.1110856323894233E-002
   1.1110856323894233E-002   1.0987405195644014E-002
   1.0987405195644014E-002   1.0987405195644014E-002
   1.0987405195644014E-002   1.0866682122710749E-002
   1.0866682122710749E-002   1.0866682122710749E-002
   1.0866682122710749E-002   1.0748597342354707E-002
   1.0748597342354707E-002   1.0748597342354707E-002
   1.0748597342354707E-002   1.0633064997526634E-002
   1.0633064997526634E-002   1.0633064997526634E-002
   1.0633064997526634E-002   1.0520002926285008E-002
   1.0520002926285008E-002   1.0520002926285008E-002
   1.0520002926285008E-002   1.0409332464715962E-002
   1.0409332464715962E-002   1.0409332464715962E-002
   1.0409332464715962E-002   1.0300978262354972E-002
   1.0300978262354972E-002   1.0300978262354972E-002
   1.0300978262354972E-002   1.0194868109193463E-002
   1.0194868109193463E-002   1.0194868109193463E-002
   1.0194868109193463E-002   1.0090932773429612E-002
   1.0090932773429612E-002   1.0090932773429612E-002
   1.0090932773429612E-002   9.9891058491917359E-003
   9.9891058491917359E-003   9.9891058491917359E-003
   9.9891058491917359E-003   9.8893236135253783E-003
   9.8893236135253783E-003   9.8893236135253783E-003
   9.8893236135253783E-003   9.7915248919923474E-003
   9.7915248919923474E-003   9.7915248919923474E-003
   9.7915248919923474E-003   9.6956509322818421E-003
   9.6956509322818421E-003   9.6956509322818421E-003
   9.6956509322818421E-003   9.6016452852811848E-003
   9.6016452852811848E-003   9.6016452852811848E-003
   9.6016452852811848E-003   9.5094536930968223E-003
   9.5094536930968223E-003   9.5094536930968223E-003
   9.5094536930968223E-003   9.4190239835556695E-003
   9.4190239835556695E-003   9.4190239835556695E-003
   9.4190239835556695E-003   9.3303059707528727E-003
   9.3303059707528727E-003   9.3303059707528727E-003
   9.3303059707528727E-003   9.2432513612450053E-003
   9.2432513612450053E-003   9.2432513612450053E-003
   9.2432513612450053E-003   9.1578136655178482E-003
   9.1578136655178482E-003   9.1578136655178482E-003
   9.1578136655178482E-003   9.0739481143855029E-003
   9.0739481143855029E-003   9.0739481143855029E-003
   9.0739481143855029E-003   8.9916115800029416E-003
   8.9916115800029416E-003   8.9916115800029416E-003
   8.9916115800029416E-003   8.9107625011972981E-003
   8.9107625011972981E-003   8.9107625011972981E-003
   8.9107625011972981E-003   8.8313608128445537E-003
   8.8313608128445537E-003   8.8313608128445537E-003
   8.8313608128445537E-003   8.7533678790379082E-003
   8.7533678790379082E-003   8.7533678790379082E-003
   8.7533678790379082E-003   8.6767464298121363E-003
   8.6767464298121363E-003   8.6767464298121363E-003
   8.6767464298121363E-003   8.6014605012048797E-003
   8.6014605012048797E-003   8.6014605012048797E-003
   8.6014605012048797E-003   8.5274753784510913E-003
   8.5274753784510913E-003   8.5274753784510913E-003
   8.5274753784510913E-003   8.4547575421210011E-003
   8.4547575421210011E-003   8.4547575421210011E-003
   8.4547575421210011E-003   8.3832746170249498E-003
   8.3832746170249498E-003   8.3832746170249498E-003
   8.3832746170249498E-003   8.3129953237204950E-003
   8.3129953237204950E-003   8.3129953237204950E-003
   8.3129953237204950E-003   8.2438894324682963E-003
   8.2438894324682963E-003   8.2438894324682963E-003
   8.2438894324682963E-003   8.1759277194935337E-003
   8.1759277194935337E-003   8.1759277194935337E-003
   8.1759277194935337E-003   8.1090819254191517E-003
   8.1090819254191517E-003   8.1090819254191517E-003
   8.1090819254191517E-003   8.0433247157459913E-003
   8.0433247157459913E-003   8.0433247157459913E-003
   8.0433247157459913E-003   7.9786296432630618E-003
   7.9786296432630618E-003   7.9786296432630618E-003
   7.9786296432630618E-003   7.9149711122787070E-003
   7.9149711122787070E-003   7.9149711122787070E-003
   7.9149711122787070E-003   7.8523243445705014E-003
   7.8523243445705014E-003   7.8523243445705014E-003
   7.8523243445705014E-003   7.7906653469581666E-003
   7.7906653469581666E-003   7.7906653469581666E-003
   7.7906653469581666E-003   7.7299708804098718E-003
   7.7299708804098718E-003   7.7299708804098718E-003
   7.7299708804098718E-003   7.6702184305978876E-003
   7.6702184305978876E-003   7.6702184305978876E-003
   7.6702184305978876E-003   7.6113861798248039E-003
   7.6113861798248039E-003   7.6113861798248039E-003
   7.6113861798248039E-003   7.5534529802463758E-003
   7.5534529802463758E-003   7.5534529802463758E-003
   7.5534529802463758E-003   7.4963983283215831E-003
   7.4963983283215831E-003   7.4963983283215831E-003
   7.4963983283215831E-003   7.4402023404247205E-003
   7.4402023404247205E-003   7.4402023404247205E-003
   7.4402023404247205E-003   7.3848457295582585E-003
   7.3848457295582585E-003   7.3848457295582585E-003
   7.3848457295582585E-003   7.3303097831088843E-003
   7.3303097831088843E-003   7.3303097831088843E-003
   7.3303097831088843E-003   7.2765763415925423E-003
   7.2765763415925423E-003   7.2765763415925423E-003
   7.2765763415925423E-003   7.2236277783375184E-003
   7.2236277783375184E-003   7.2236277783375184E-003
   7.2236277783375184E-003   7.1714469800575487E-003
   7.1714469800575487E-003   7.1714469800575487E-003
   7.1714469800575487E-003   7.1200173282697718E-003
   7.1200173282697718E-003   7.1200173282697718E-003
   7.1200173282697718E-003   7.0693226815149099E-003
   7.0693226815149099E-003   7.0693226815149099E-003
   7.0693226815149099E-003   7.0193473583395286E-003
   7.0193473583395286E-003   7.0193473583395286E-003
   7.0193473583395286E-003   6.9700761210025001E-003
   6.9700761210025001E-003   6.9700761210025001E-003
   6.9700761210025001E-003   6.9214941598699309E-003
   6.9214941598699309E-003   6.9214941598699309E-003
   6.9214941598699309E-003   6.8735870784648167E-003
   6.8735870784648167E-003   6.8735870784648167E-003
   6.8735870784648167E-003   6.8263408791395782E-003
   6.8263408791395782E-003   6.8263408791395782E-003
   6.8263408791395782E-003   6.7797419493413657E-003
   6.7797419493413657E-003   6.7797419493413657E-003
   6.7797419493413657E-003   6.7337770484417062E-003
   6.7337770484417062E-003   6.7337770484417062E-003
   6.7337770484417062E-003   6.6884332951035862E-003
   6.6884332951035862E-003   6.6884332951035862E-003
   6.6884332951035862E-003   6.6436981551605363E-003
   6.6436981551605363E-003   6.6436981551605363E-003
   6.6436981551605363E-003   6.5995594299836525E-003
   6.5995594299836525E-003   6.5995594299836525E-003
   6.5995594299836525E-003   6.5560052453137660E-003
   6.5560052453137660E-003   6.5560052453137660E-003
   6.5560052453137660E-003   6.5130240405371848E-003
   6.5130240405371848E-003   6.5130240405371848E-003
   6.5130240405371848E-003   6.4706045583845691E-003
   6.4706045583845691E-003   6.4706045583845691E-003
   6.4706045583845691E-003   6.4287358350335819E-003
   6.4287358350335819E-003   6.4287358350335819E-003
   6.4287358350335819E-003   6.3874071905969370E-003
   6.3874071905969370E-003   6.3874071905969370E-003
   6.3874071905969370E-003   6.3466082199784479E-003
   6.3466082199784479E-003   6.3466082199784479E-003
   6.3466082199784479E-003   6.3063287840805496E-003
   6.3063287840805496E-003   6.3063287840805496E-003
   6.3063287840805496E-003   6.2665590013476265E-003
   6.2665590013476265E-003   6.2665590013476265E-003
   6.2665590013476265E-003   6.2272892396302553E-003
   6.2272892396302553E-003   6.2272892396302553E-003
   6.2272892396302553E-003   6.1885101083562410E-003
   6.1885101083562410E-003   6.1885101083562410E-003
   6.1885101083562410E-003   6.1502124509950143E-003
   6.1502124509950143E-003   6.1502124509950143E-003
   6.1502124509950143E-003   6.1123873378026404E-003
   6.1123873378026404E-003   6.1123873378026404E-003
   6.1123873378026404E-003   6.0750260588353106E-003
   6.0750260588353106E-003   6.0750260588353106E-003
   6.0750260588353106E-003   6.0381201172197826E-003
   6.0381201172197826E-003   6.0381201172197826E-003
   6.0381201172197826E-003   6.0016612226698081E-003
   6.0016612226698081E-003   6.0016612226698081E-003
   6.0016612226698081E-003   5.9656412852381099E-003
   5.9656412852381099E-003   5.9656412852381099E-003
   5.9656412852381099E-003   5.9300524092939727E-003
   5.9300524092939727E-003   5.9300524092939727E-003
   5.9300524092939727E-003   5.8948868877169991E-003
   5.8948868877169991E-003   5.8948868877169991E-003
   5.8948868877169991E-003   5.8601371962980209E-003
   5.8601371962980209E-003   5.8601371962980209E-003
   5.8601371962980209E-003   5.8257959883385845E-003
   5.8257959883385845E-003   5.8257959883385845E-003
   5.8257959883385845E-003   5.7918560894408425E-003
   5.7918560894408425E-003   5.7918560894408425E-003
   5.7918560894408425E-003   5.7583104924800489E-003
   5.7583104924800489E-003   5.7583104924800489E-003
   5.7583104924800489E-003   5.7251523527522431E-003
   5.7251523527522431E-003   5.7251523527522431E-003
   5.7251523527522431E-003   5.6923749832900180E-003
   5.6923749832900180E-003   5.6923749832900180E-003
   5.6923749832900180E-003   5.6599718503396318E-003
   5.6599718503396318E-003   5.6599718503396318E-003
   5.6599718503396318E-003   5.6279365689929951E-003
   5.6279365689929951E-003   5.6279365689929951E-003
   5.6279365689929951E-003   5.5962628989683870E-003
   5.5962628989683870E-003   5.5962628989683870E-003
   5.5962628989683870E-003   5.5649447405340165E-003
   5.5649447405340165E-003   5.5649447405340165E-003
   5.5649447405340165E-003   5.5339761305688191E-003
   5.5339761305688191E-003   5.5339761305688191E-003
   5.5339761305688191E-003   5.5033512387551138E-003
   5.5033512387551138E-003   5.5033512387551138E-003
   5.5033512387551138E-003   5.4730643638980061E-003
   5.4730643638980061E-003   5.4730643638980061E-003
   5.4730643638980061E-003   5.4431099303666360E-003
   5.4431099303666360E-003   5.4431099303666360E-003
   5.4431099303666360E-003   5.4134824846525801E-003
   5.4134824846525801E-003   5.4134824846525801E-003
   5.4134824846525801E-003   5.3841766920409402E-003
   5.3841766920409402E-003   5.3841766920409402E-003
   5.3841766920409402E-003   5.3551873333898235E-003
   5.3551873333898235E-003   5.3551873333898235E-003
   5.3551873333898235E-003   5.3265093020141248E-003
   5.3265093020141248E-003   5.3265093020141248E-003
   5.3265093020141248E-003   5.2981376006696812E-003
   5.2981376006696812E-003   5.2981376006696812E-003
   5.2981376006696812E-003   5.2700673386340512E-003
   5.2700673386340512E-003   5.2700673386340512E-003
   5.2700673386340512E-003   5.2422937288803140E-003
   5.2422937288803140E-003   5.2422937288803140E-003
   5.2422937288803140E-003   5.2148120853404561E-003
   5.2148120853404561E-003   5.2148120853404561E-003
   5.2148120853404561E-003   5.1876178202550430E-003
   5.1876178202550430E-003   5.1876178202550430E-003
   5.1876178202550430E-003   5.1607064416060158E-003
   5.1607064416060158E-003   5.1607064416060158E-003
   5.1607064416060158E-003   5.1340735506295821E-003
   5.1340735506295821E-003   5.1340735506295821E-003
   5.1340735506295821E-003   5.1077148394063077E-003
   5.1077148394063077E-003   5.1077148394063077E-003
   5.1077148394063077E-003   5.0816260885256162E-003
   5.0816260885256162E-003   5.0816260885256162E-003
   5.0816260885256162E-003   5.0558031648220321E-003
   5.0558031648220321E-003   5.0558031648220321E-003
   5.0558031648220321E-003   5.0302420191806075E-003
   5.0302420191806075E-003   5.0302420191806075E-003
   5.0302420191806075E-003   5.0049386844090776E-003
   5.0049386844090776E-003   5.0049386844090776E-003
   5.0049386844090776E-003   4.9798892731743828E-003
   4.9798892731743828E-003   4.9798892731743828E-003
   4.9798892731743828E-003   4.9550899760013051E-003
   4.9550899760013051E-003   4.9550899760013051E-003
   4.9550899760013051E-003   4.9305370593310362E-003
   4.9305370593310362E-003   4.9305370593310362E-003
   4.9305370593310362E-003   4.9062268636375994E-003
   4.9062268636375994E-003   4.9062268636375994E-003
   4.9062268636375994E-003   4.8821558016001205E-003
   4.8821558016001205E-003   4.8821558016001205E-003
   4.8821558016001205E-003   4.8583203563290229E-003
   4.8583203563290229E-003   4.8583203563290229E-003
   4.8583203563290229E-003   4.8347170796443021E-003
   4.8347170796443021E-003   4.8347170796443021E-003
   4.8347170796443021E-003   4.8113425904040977E-003
   4.8113425904040977E-003   4.8113425904040977E-003
   4.8113425904040977E-003   4.7881935728818614E-003
   4.7881935728818614E-003   4.7881935728818614E-003
   4.7881935728818614E-003   4.7652667751904741E-003
   4.7652667751904741E-003   4.7652667751904741E-003
   4.7652667751904741E-003   4.7425590077517397E-003
   4.7425590077517397E-003   4.7425590077517397E-003
   4.7425590077517397E-003   4.7200671418097320E-003
   4.7200671418097320E-003   4.7200671418097320E-003
   4.7200671418097320E-003   4.6977881079865403E-003
   4.6977881079865403E-003   4.6977881079865403E-003
   4.6977881079865403E-003   4.6757188948790005E-003
   4.6757188948790005E-003   4.6757188948790005E-003
   4.6757188948790005E-003   4.6538565476950721E-003
   4.6538565476950721E-003   4.6538565476950721E-003
   4.6538565476950721E-003   4.6321981669285479E-003
   4.6321981669285479E-003   4.6321981669285479E-003
   4.6321981669285479E-003   4.6107409070708519E-003
   4.6107409070708519E-003   4.6107409070708519E-003
   4.6107409070708519E-003   4.5894819753587160E-003
   4.5894819753587160E-003   4.5894819753587160E-003
   4.5894819753587160E-003   4.5684186305565734E-003
   4.5684186305565734E-003   4.5684186305565734E-003
   4.5684186305565734E-003   4.5475481817725573E-003
   4.5475481817725573E-003   4.5475481817725573E-003
   4.5475481817725573E-003   4.5268679873070143E-003
   4.5268679873070143E-003   4.5268679873070143E-003
   4.5268679873070143E-003   4.5063754535325093E-003
   4.5063754535325093E-003   4.5063754535325093E-003
   4.5063754535325093E-003   4.4860680338043094E-003
   4.4860680338043094E-003   4.4860680338043094E-003
   4.4860680338043094E-003   4.4659432274003884E-003
   4.4659432274003884E-003   4.4659432274003884E-003
   4.4659432274003884E-003   4.4459985784900255E-003
   4.4459985784900255E-003   4.4459985784900255E-003
   4.4459985784900255E-003   4.4262316751300899E-003
   4.4262316751300899E-003   4.4262316751300899E-003
   4.4262316751300899E-003   4.4066401482881646E-003
   4.4066401482881646E-003   4.4066401482881646E-003
   4.4066401482881646E-003   4.3872216708916592E-003
   4.3872216708916592E-003   4.3872216708916592E-003
   4.3872216708916592E-003   4.3679739569021181E-003
   4.3679739569021181E-003   4.3679739569021181E-003
   4.3679739569021181E-003   4.3488947604139426E-003
   4.3488947604139426E-003   4.3488947604139426E-003
   4.3488947604139426E-003   4.3299818747767867E-003
   4.3299818747767867E-003   4.3299818747767867E-003
   4.3299818747767867E-003   4.3112331317408910E-003
   4.3112331317408910E-003   4.3112331317408910E-003
   4.3112331317408910E-003   4.2926464006246704E-003
   4.2926464006246704E-003   4.2926464006246704E-003
   4.2926464006246704E-003   4.2742195875038747E-003
   4.2742195875038747E-003   4.2742195875038747E-003
   4.2742195875038747E-003   4.2559506344216728E-003
   4.2559506344216728E-003   4.2559506344216728E-003
   4.2559506344216728E-003   4.2378375186190387E-003
   4.2378375186190387E-003   4.2378375186190387E-003
   4.2378375186190387E-003   4.2198782517848237E-003
   4.2198782517848237E-003   4.2198782517848237E-003
   4.2198782517848237E-003   4.2020708793249371E-003
   4.2020708793249371E-003   4.2020708793249371E-003
   4.2020708793249371E-003   4.1844134796500667E-003
   4.1844134796500667E-003   4.1844134796500667E-003
   4.1844134796500667E-003   4.1669041634813898E-003
   4.1669041634813898E-003   4.1669041634813898E-003
   4.1669041634813898E-003   4.1495410731737514E-003
   4.1495410731737514E-003   4.1495410731737514E-003
   4.1495410731737514E-003   4.1323223820557958E-003
   4.1323223820557958E-003   4.1323223820557958E-003
   4.1323223820557958E-003   4.1152462937865571E-003
   4.1152462937865571E-003   4.1152462937865571E-003
   4.1152462937865571E-003   4.0983110417280328E-003
   4.0983110417280328E-003   4.0983110417280328E-003
   4.0983110417280328E-003   4.0815148883332824E-003
   4.0815148883332824E-003   4.0815148883332824E-003
   4.0815148883332824E-003   4.0648561245495958E-003
   4.0648561245495958E-003   4.0648561245495958E-003
   4.0648561245495958E-003   4.0483330692363080E-003
   4.0483330692363080E-003   4.0483330692363080E-003
   4.0483330692363080E-003   4.0319440685968357E-003
   4.0319440685968357E-003   4.0319440685968357E-003
   4.0319440685968357E-003   4.0156874956245427E-003
   4.0156874956245427E-003   4.0156874956245427E-003
   4.0156874956245427E-003   3.9995617495620275E-003
   3.9995617495620275E-003   3.9995617495620275E-003
   3.9995617495620275E-003   3.9835652553734677E-003
   3.9835652553734677E-003   3.9835652553734677E-003
   3.9835652553734677E-003   3.9676964632296488E-003
   3.9676964632296488E-003   3.9676964632296488E-003
   3.9676964632296488E-003   3.9519538480053233E-003
   3.9519538480053233E-003   3.9519538480053233E-003
   3.9519538480053233E-003   3.9363359087885592E-003
   3.9363359087885592E-003   3.9363359087885592E-003
   3.9363359087885592E-003   3.9208411684017409E-003
   3.9208411684017409E-003   3.9208411684017409E-003
   3.9208411684017409E-003   3.9054681729339068E-003
   3.9054681729339068E-003   3.9054681729339068E-003
   3.9054681729339068E-003   3.8902154912841070E-003
   3.8902154912841070E-003   3.8902154912841070E-003
   3.8902154912841070E-003   3.8750817147154802E-003
   3.8750817147154802E-003   3.8750817147154802E-003
   3.8750817147154802E-003   3.8600654564197577E-003
   3.8600654564197577E-003   3.8600654564197577E-003
   3.8600654564197577E-003   3.8451653510919127E-003
   3.8451653510919127E-003   3.8451653510919127E-003
   3.8451653510919127E-003   3.8303800545146749E-003
   3.8303800545146749E-003   3.8303800545146749E-003
   3.8303800545146749E-003   3.8157082431526513E-003
   3.8157082431526513E-003   3.8157082431526513E-003
   3.8157082431526513E-003   3.8011486137557882E-003
   3.8011486137557882E-003   3.8011486137557882E-003
   3.8011486137557882E-003   3.7866998829719305E-003
   3.7866998829719305E-003   3.7866998829719305E-003
   3.7866998829719305E-003   3.7723607869682308E-003
   3.7723607869682308E-003   3.7723607869682308E-003
   3.7723607869682308E-003   3.7581300810611753E-003
   3.7581300810611753E-003   3.7581300810611753E-003
   3.7581300810611753E-003   3.7440065393549984E-003
   3.7440065393549984E-003   3.7440065393549984E-003
   3.7440065393549984E-003   3.7299889543882655E-003
   3.7299889543882655E-003   3.7299889543882655E-003
   3.7299889543882655E-003   3.7160761367884070E-003
   3.7160761367884070E-003   3.7160761367884070E-003
   3.7160761367884070E-003   3.7022669149339989E-003
   3.7022669149339989E-003   3.7022669149339989E-003
   3.7022669149339989E-003   3.6885601346245836E-003
   3.6885601346245836E-003   3.6885601346245836E-003
   3.6885601346245836E-003   3.6749546587578419E-003
   3.6749546587578419E-003   3.6749546587578419E-003
   3.6749546587578419E-003   3.6614493670139156E-003
   3.6614493670139156E-003   3.6614493670139156E-003
   3.6614493670139156E-003   3.6480431555467089E-003
   3.6480431555467089E-003   3.6480431555467089E-003
   3.6480431555467089E-003   3.6347349366819778E-003
   3.6347349366819778E-003   3.6347349366819778E-003
   3.6347349366819778E-003   3.6215236386220413E-003
   3.6215236386220413E-003   3.6215236386220413E-003
   3.6215236386220413E-003   3.6084082051569431E-003
   3.6084082051569431E-003   3.6084082051569431E-003
   3.6084082051569431E-003   3.5953875953818990E-003
   3.5953875953818990E-003   3.5953875953818990E-003
   3.5953875953818990E-003   3.5824607834208729E-003
   3.5824607834208729E-003   3.5824607834208729E-003
   3.5824607834208729E-003   3.5696267581561245E-003
   3.5696267581561245E-003   3.5696267581561245E-003
   3.5696267581561245E-003   3.5568845229635806E-003
   3.5568845229635806E-003   3.5568845229635806E-003
   3.5568845229635806E-003   3.5442330954538830E-003
   3.5442330954538830E-003   3.5442330954538830E-003
   3.5442330954538830E-003   3.5316715072189722E-003
